g1006573,d1102010,February 27 2016,
g1006573,d1102010,February 27 2016,
g1006573,d1102010,February 13 2016,This is an experience that should not be missed. Well cared for horses lovely beach easy going guide. We stopped the horses on a secluded beach and removed the saddles. We then rode bareback walking the horses into the ocean until they were swimming before returning to shore. Lovely.
g1006573,d1102010,February 13 2016,
g1006573,d1102010,February 13 2016,The horses are well cared for and well behaved. Our group had both experienced and inexperienced riders and everyone had fun. I got to canter on the beach even though the rest of the group didn't want to. We would definitely go with them again.
g1006573,d1102010,February 13 2016,I had the most wonderful time riding with Pampered Ponies : reconciling my 2 passions : the sea and horses. bareback swimming is a unique experience ! loved it !
g1006573,d1102010,February 13 2016,We have horses at home and wanted to ride on a beach. The horses were well cared for unlike in st. Lucia. The guide was nice..took pictures and told us about the island. There's lots of beach to run and play on. The horses were safe and well trained. Lori was very nice and you can tell she cares.
g1006573,d1102010,February 13 2016,
g1006573,d1102010,February 13 2016,
g1006573,d1102010,February 13 2016,
g1006573,d1102010,February 13 2016,The guide and ride was great. Communication was not the best. They use public transportation and didn't make then clear to use (how are we supposed to know what bus to get on). Make sure that they make it very clear to you.
g1006573,d1383025,February 17 2016,
g1006573,d1383025,February 23 2016,
g1006573,d1383025,February 17 2016,
g1006573,d1383025,February 17 2016,
g1006573,d1383025,February 17 2016,I enjoyed my private beach ride along the beach with Paul. Horses were well behaved and I felt totally safe. Would recommend.
g1006573,d1383025,February 17 2016,Definitely worth it! Was one of the best experiences I've had on the Island. If I could I would do it every day!! The horses are very easy to handle and overall it was a lovely experience!
g1006573,d1383025,February 17 2016,
g1006573,d1383025,February 17 2016,
g1006573,d1383025,February 17 2016,This was the best Swimming with the horse we have ever done and we have done many. We went for a ride December 24 with my 3 teenage kids and my 9 year old Paul was our guide. Paul is amazing  a great guide very nice knowledgeable and attentive! I would absolutely recommend this place !
g1006573,d1383025,February 17 2016,
g1006573,d1383025,February 17 2016,
g1006573,d1415235,March 4 2016,
g1006573,d1415235,March 7 2016,
g1006573,d1415235,March 6 2016,
g1006573,d1415235,March 4 2016,We didn't have time to stay and swim with the Dolphins but we were allowed to watch the others do that. It was definitely worth the stop and walk through the gift shop. Food was available as well.
g1006573,d1415235,March 3 2016,It was very fun and safe. My daughter loved it! It went by so quickly we were having so much fun. Awesome
g1006573,d1415235,March 3 2016,Dolphin experience was great. The way they have you buy pictures is hi-way robbery they should wear masks it would make the experience more realistic( the robbers not the .....)
g1006573,d1415235,March 1 2016,
g1006573,d1415235,March 1 2016,
g1006573,d1415235,February 29 2016,
g1006573,d1415235,February 29 2016,We just spent a short time at the Dolphin Discover Center and did not go swimming with the dolphins. However there are viewing areas where the dolphins could be seen.
g1006573,d1415235,February 28 2016,
g1006573,d1437338,March 4 2016,
g1006573,d1437338,March 4 2016,
g1006573,d1437338,February 28 2016,
g1006573,d1437338,February 27 2016,
g1006573,d1437338,February 12 2016,Great for "old folks" AND kids. This cruise was for wife's 70th B'Day and this excursion was a highlight. Dolphin Encounter and Sting Ray Envounter both exceeded expectations. Awsome!
g1006573,d1437338,February 8 2016,Capi and his trainer were great and the kids were so excited to kiss hug and ride the dolphins. the look on their faces was priceless
g1006573,d1437338,February 8 2016,
g1006573,d1437338,February 4 2016,Best shore excursions! The staff made it very personalized patience with kids and handicap people! Thumbs up! I would recommend to everyone!
g1006573,d1437338,February 3 2016,This is a great experience. One of the highlights of the vacation. Photos they take are really good albeit expensive.
g1006573,d1437338,February 3 2016,A small group from our cruise ship went here; took turns having the dolphin Nemo pushing us on a boogy board holding fins and letting each one hold on and belly swim. Then we got to hold and kiss him and he kissed our cheeks. The photos they took were pricey but I did buy.
g1006573,d1437338,February 3 2016,
g1006573,d1989109,March 5 2016,
g1006573,d1989109,March 5 2016,This was my second visit to Grand Cayman and my second visit to the USS Kittiwake! Love the accessibility huge entrys and exits and the history!
g1006573,d1989109,March 4 2016,Plenty of cutouts/swing through so specifically made for divers to explore ship. Very easy to get to and plenty to see. It is a newer wreck (purposely sunk) so the coral and growth are still young but there are plenty of fish and the expirence is top notch.
g1006573,d1989109,February 29 2016,We snorkeled all around the ship and the schools of fish were plentiful. The colors of the fish and the variety more than met our expectations and to be that close to a ship was a lot of fun. We did see a lot of scuba divers who went into the ship. Not for me!
g1006573,d1989109,February 28 2016,This is a must do if you are in the Grand Caymans for diving. The ship is huge with numerous cutouts that let you enter the interior at various points and without fear of getting lost inside.
g1006573,d1989109,February 24 2016,
g1006573,d1989109,February 22 2016,Very good dive and nice to be able to go inside a wreck with lots of room would do again for sure. Nice warm water and plenty of time to look around. Pick your times wisely for its very popular dive site and can be congested.
g1006573,d1989109,February 20 2016,I'm glad that I got to dive the Kittiwake. My husband loves wreck diving me not so much. This was a real treat. There was so much to see on this dive.
g1006573,d1989109,February 15 2016,This was my first dive on a ship. Pleanty of big cuttouts with lots of light inside. Crystal clear water with great visablility.
g1006573,d1989109,February 13 2016,Kittiwake is pretty rad. Visibility is excellent. You can swim in and out of the ship safely. The fish who make their home there are colorful. We are glad we made this dive in Grand Cayman.
g1006573,d1989109,February 12 2016,I've dove around the world and this is a great wreck dive! Fun to move around within the holds and areas. It's big with lots of marine life hanging around. Great visibility. Quick and easy boat access. Go with Dive Tech!
g1006573,d2173510,March 10 2016,
g1006573,d2173510,March 10 2016,Up close view of these beautiful creatures well worth the visit. Well organized and informative. Your kids will love it.
g1006573,d2173510,March 9 2016,
g1006573,d2173510,March 9 2016,We really enjoyed this nature park. Nicely layed out and kept up. We really enjoyed the snorkeling with the fish and turtles and feeding birds in the aviary. The only negative was the lack of good service at the restaurant. The food was pretty good however. Would definitely recommend.
g1006573,d2173510,March 9 2016,
g1006573,d2173510,March 9 2016,We only visited the turtle section of the Farm but it was well worth the experience. The size of some of the turtles is impressive and the opportunity to hold a sea turtle was the best.
g1006573,d2173510,March 9 2016,
g1006573,d2173510,March 8 2016,the turtle program was ok just interesting how they breed the turtles for consumption so the wild ones are not harmed. I found it very informative. Beautiful areas very clean.
g1006573,d2173510,March 7 2016,Are you an animal lover? Love pets? The turtle farm was a fun low key activity. A little over priced. However show proof of your taxi ride with the right company and you'll get in for a significant discount. Fun for all to hold the turtles. You'll learn a little history and breeding of the turtles.
g1006573,d2173510,March 7 2016,
g1006573,d2173510,March 7 2016,
g1006573,d3309542,February 26 2016,
g1006573,d3309542,February 26 2016,
g1006573,d3309542,February 23 2016,I had a wonderful ride on the beach with Nicki. Her horses are well cared for and well trained. We rode for an hour and 1/2 along a gorgeous beach and then through a quiet wooded area back to the starting location. If you would like a fun safe adventure make a reservation with Nicki.
g1006573,d3309542,February 11 2016,
g1006573,d3309542,February 11 2016,
g1006573,d3309542,February 11 2016,
g1006573,d3309542,February 11 2016,
